"name","comarca","ine","lon","lat","cp"
"Burgo de Ebro (El)","D.C. Zaragoza","50062","-0.7419942","41.5719653","50730"
"Buste (El)","Tarazona y el Moncayo","50063","-1.6017305","41.8858758","50548"
"Bádenas","Jiloca","44032","-1.1218114","41.0922199","44491"
"Báguena","Jiloca","44033","-1.3571721","41.0408929","44320"
"Bárboles","Ribera Alta del Ebro","50043","-1.1863063","41.7091213","50297"
"Bárcabo","Sobrarbe","22051","0.0693975","42.2423731","22148"
"Cabañas de Ebro","Ribera Alta del Ebro","50064","-1.1634967","41.7939491","50638"
"Cabolafuente","Comunidad de Calatayud","50065","-2.0407904","41.2113657","50228"
"Cabra de Mora","Gúdar-Javalambre","44048","-0.8076798","40.3172204","44409"
"Cadrete","D.C. Zaragoza","50066","-0.9611608","41.5553673","50420"
"Calaceite","Matarranya","44049","0.1876385","41.0158479","44610"
"Calamocha","Jiloca","44050","-1.299939","40.9173028","44200"
"Calanda","Bajo Aragón","44051","-0.2315018","40.9407849","44570"
"Calatayud","Comunidad de Calatayud","50067","-1.6468455","41.3531678",NA
"Calatorao","Valdejalón","50068","-1.3457193","41.5221752","50280"
"Calcena","Aranda","50069","-1.7179976","41.6563427","50268"
"Caldearenas","Alto Gállego","22072","-0.5006829","42.3973581","22624"
"Calmarza","Comunidad de Calatayud","50070","-1.9117557","41.1576553","50238"
"Calomarde","Sierra de Albarracín","44052","-1.5732428","40.3724984","44126"
"Camarena de la Sierra","Gúdar-Javalambre","44054","-1.0412584","40.1476484","44459"
"Camarillas","Comunidad de Teruel","44055","-0.7538751","40.6125583","44155"
"Camañas","Comunidad de Teruel","44053","-1.1371011","40.643702","44167"
"Caminreal","Jiloca","44056","-1.3230581","40.8393218","44350"
"Campillo de Aragón","Comunidad de Calatayud","50071","-1.8425016","41.1263979","50214"
"Campo","La Ribagorza","22074","0.3954387","42.4085228","22450"
"Camporrells","La Llitera","22075","0.5216472","41.9587631","22570"
"Canal de Berdún","La Jacetania","22076","-0.8484524","42.6066294",NA
"Candasnos","Baix Cinca","22077","0.0635827","41.5018867","22591"
"Canfranc","La Jacetania","22078","-0.5254869","42.71649","22888"
"Cantavieja","Maestrazgo","44059","-0.4048609","40.5253607","44140"
"Capdesaso","Los Monegros","22079","-0.182572","41.8434768","22212"
"Capella","La Ribagorza","22080","0.3966163","42.1967054","22480"
"Carenas","Comunidad de Calatayud","50072","-1.7964943","41.2781842","50212"
"Cariñena","Campo de Cariñena","50073","-1.2241497","41.3370805","50400"
"Casbas de Huesca","Plana de Uesca","22081","-0.1395532","42.1553333","22142"
"Cascante del Río","Comunidad de Teruel","44064","-1.1155172","40.1955648","44191"
"Caspe","Baix Aragó-Casp","50074","-0.0408208","41.2344007","50700"
"Castejón de Alarba","Comunidad de Calatayud","50075","-1.6353946","41.1832643","50346"
"Castejón de Monegros","Los Monegros","22083","-0.2397116","41.6171493","22222"
"Castejón de Sos","La Ribagorza","22084","0.491828","42.5122055","22466"
"Castejón de Tornos","Jiloca","44065","-1.4271618","40.9971941","44231"
"Castejón de Valdejasa","Cinco Villas","50077","-0.9946155","41.9816729","50612"
"Castejón de las Armas","Comunidad de Calatayud","50076","-1.8129417","41.309909","50211"
"Castejón del Puente","Somontano de Barbastro","22082","0.1585692","41.961384","22310"
"Castel de Cabra","Cuencas Mineras","44066","-0.6965819","40.80273","44706"
"Castelflorite","Los Monegros","22085","-0.0218629","41.8038572","22215"
"Castellar (El)","Gúdar-Javalambre","44070","-0.8260373","41.7777803",NA
"Castellote","Maestrazgo","44071","-0.318802","40.799468","44560"
"Castelnou","Bajo Martín","44067","-0.3645379","41.2278672","44592"
"Castelserás","Bajo Aragón","44068","-0.1454032","40.9806785","44630"
"Castiello de Jaca","La Jacetania","22086","-0.5497154","42.6295603","22710"
"Castigaleu","La Ribagorza","22087","0.5794301","42.2037963","22587"
"Castiliscar","Cinco Villas","50078","-1.2734573","42.3757251","50696"
"Castillazuelo","Somontano de Barbastro","22088","0.0650422","42.0685759","22313"
"Castillonroy","La Llitera","22089","0.5133783","41.8856242","22572"
"Cañada Vellida","Comunidad de Teruel","44062","-0.9149068","40.7074924","44168"
"Cañada de Benatanduz","Maestrazgo","44060","-0.536122","40.5791622","44140"
"Cañada de Verich (La)","Bajo Aragón","44061","-0.0995039","40.8661241","44643"
"Cañizar del Olivar","Cuencas Mineras","44063","-0.6458877","40.8159932","44707"
"Cedrillas","Comunidad de Teruel","44074","-0.8538124","40.4363957","44147"
"Celadas","Comunidad de Teruel","44075","-1.1508967","40.475201","44194"
"Cella","Comunidad de Teruel","44076","-1.2818815","40.4521911","44370"
"Cerollera (La)","Bajo Aragón","44077","-0.055702","40.8396009","44651"
"Cervera de la Cañada","Comunidad de Calatayud","50079","-1.7356319","41.43196","50312"
"Cerveruela","Campo de Daroca","50080","-1.2151362","41.2148321","50368"
"Cetina","Comunidad de Calatayud","50081","-1.9624686","41.2905363","50292"
"Chalamera","Baix Cinca","22094","0.1620809","41.6655951","22233"
"Chimillas","Plana de Uesca","22096","-0.4520058","42.1705823","22194"
"Chiprana","Baix Aragó-Casp","50092","-0.1266861","41.2625896","50792"
"Chodes","Valdejalón","50093","-1.4791251","41.4874287","50269"
"Chía","La Ribagorza","22095","0.4652754","42.5209012","22465"
"Cimballa","Comunidad de Calatayud","50082","-1.7742697","41.1016718","50213"
"Cinco Olivas","Ribera Baja del Ebro","50083","-0.371893","41.339834","50782"
"Clarés de Ribota","Comunidad de Calatayud","50084","-1.8385388","41.5297404","50314"
"Codo","Campo de Belchite","50085","-0.7004385","41.3345486","50132"
"Codos","Comunidad de Calatayud","50086","-1.3746587","41.2940092","50326"
"Codoñera (La)","Bajo Aragón","44080","-0.0846056","40.9340415","44640"
"Colungo","Somontano de Barbastro","22090","0.0644584","42.1723773","22148"
"Contamina","Comunidad de Calatayud","50087","-1.9178627","41.3057069","50239"
"Corbalán","Comunidad de Teruel","44082","-0.9862493","40.4035016","44193"
"Cortes de Aragón","Cuencas Mineras","44084","-0.8347577","40.9727127","44791"
"Cosa","Jiloca","44085","-1.1359017","40.8337273","44358"
"Cosuenda","Campo de Cariñena","50088","-1.299939","41.3650739","50409"
"Cretas","Matarranya","44086","0.212649","40.9280108","44623"
"Crivillén","Andorra-Sierra de Arcos","44087","-0.5760288","40.8833765","44557"
"Cuarte de Huerva","D.C. Zaragoza","50089","-0.9331147","41.5962142",NA
"Cuba (La)","Maestrazgo","44088","-106.9521636","36.0486727",NA
"Cubel","Campo de Daroca","50090","-1.6332709","41.0980859","50376"
"Cubla","Comunidad de Teruel","44089","-1.0783712","40.209978","44191"
"Cucalón","Jiloca","44090","-1.2163379","41.0865432","44491"
"Cuerlas (Las)","Campo de Daroca","50091","-1.5511323","40.95965","50373"
"Cuervo (El)","Comunidad de Teruel","44092","-1.544921","41.7315763",NA
"Cuevas Labradas","Comunidad de Teruel","44094","-1.0496358","40.4526149","44162"
"Cuevas de Almudén","Cuencas Mineras","44093","-0.828805","40.7135268","44169"
"Daroca","Campo de Daroca","50094","-1.4144344","41.1144048","50360"
"Ejea de los Caballeros","Cinco Villas","50095","-1.1365014","42.1257236","50600"
"Ejulve","Andorra-Sierra de Arcos","44096","-0.5535578","40.7759716","44559"
"Embid de Ariza","Comunidad de Calatayud","50096","-1.9728628","41.3799619","50239"
"Encinacorba","Campo de Cariñena","50098","-1.2777767","41.2839052","50470"
"Erla","Cinco Villas","50100","-0.9492193","42.1169172","50611"
"Escatrón","Ribera Baja del Ebro","50101","-0.3266073","41.2841606","50790"
"Escorihuela","Comunidad de Teruel","44097","-0.9695219","40.5448988","44161"
"Escucha","Cuencas Mineras","44099","-0.811547","40.7928063","44770"
"Esplús","La Llitera","22099","0.2734488","41.7985628","22535"
"Estada","Somontano de Barbastro","22102","0.2320882","42.0711435","22424"
"Estadilla","Somontano de Barbastro","22103","0.24675","42.0568872","22423"
"Estercuel","Andorra-Sierra de Arcos","44100","-0.6334462","40.8546366","44558"
"Estopiñán del Castillo","La Ribagorza","22105","0.5434741","41.9964626","22589"
"Fabara","Baix Aragó-Casp","50102","0.1698182","41.1777195","50793"
"Fago","La Jacetania","22106","-0.865547","42.7348566","22729"
"Fanlo","Sobrarbe","22107","-0.0212797","42.5874095","22375"
"Farlete","Los Monegros","50104","-0.5080634","41.6810995","50163"
"Fayos (Los)","Tarazona y el Moncayo","50106","-1.7834017","41.8788645","50513"
"Fayón","Baix Aragó-Casp","50105","0.3330735","41.2395794","50795"
"Ferreruela de Huerva","Jiloca","44101","-1.233165","41.0636977","44490"
"Figueruelas","Ribera Alta del Ebro","50107","-1.1748999","41.7658569","50639"
"Fiscal","Sobrarbe","22109","-0.1208388","42.4963256","22373"
"Fombuena","Campo de Daroca","50108","-1.1920106","41.1437395","50491"
"Fonfría","Jiloca","44102","-1.0842049","40.9958308","44492"
"Fonz","Cinca Medio","22110","0.2584835","42.0098276","22422"
"Foradada del Toscar","La Ribagorza","22111","0.351008","42.4108176","22452"
"Formiche Alto","Gúdar-Javalambre","44103","-0.8916504","40.3242616","44440"
"Fortanete","Maestrazgo","44106","-0.5216472","40.5045457","44143"
"Foz-Calanda","Bajo Aragón","44107","-0.2659163","40.9225537","44579"
"Fraga","Baix Cinca","22112","0.3417097","41.5217853","22520"
"Frago (El)","Cinco Villas","50109","-0.9313136","42.2725346","50610"
"Frasno (El)","Comunidad de Calatayud","50110","-1.4960571","41.4146655","50320"
"Fresneda (La)","Matarranya","44108","0.0752607","40.9277346","44596"
"Fréscano","Campo de Borja","50111","-1.4501145","41.873922","50562"
"Frías de Albarracín","Sierra de Albarracín","44109","-1.6147685","40.3378229","44126"
"Fuendejalón","Campo de Borja","50113","-1.4712661","41.7599687","50529"
"Fuendetodos","Campo de Belchite","50114","-0.9593694","41.3433431","50142"
"Fuenferrada","Cuencas Mineras","44110","-1.0122499","40.8686942","44741"
"Fuentes Calientes","Comunidad de Teruel","44111","-0.9760926","40.7003384","44711"
