name,comarca,ine
Berge,Bajo Aragón,44040
Bezas,Sierra de Albarracín,44041
Blancas,Jiloca,44042
Blesa,Cuencas Mineras,44043
Bordón,Maestrazgo,44044
Bronchales,Sierra de Albarracín,44045
Bueña,Jiloca,44046
Burbáguena,Jiloca,44047
Cabra de Mora,Gúdar-Javalambre,44048
Calaceite,Matarranya,44049
Calamocha,Jiloca,44050
Calanda,Bajo Aragón,44051
Calomarde,Sierra de Albarracín,44052
Camañas,Comunidad de Teruel,44053
Camarena de la Sierra,Gúdar-Javalambre,44054
Camarillas,Comunidad de Teruel,44055
Caminreal,Jiloca,44056
Cantavieja,Maestrazgo,44059
Cañada de Benatanduz,Maestrazgo,44060
Cañada de Verich (La),Bajo Aragón,44061
Cañada Vellida,Comunidad de Teruel,44062
Cañizar del Olivar,Cuencas Mineras,44063
Cascante del Río,Comunidad de Teruel,44064
Castejón de Tornos,Jiloca,44065
Castel de Cabra,Cuencas Mineras,44066
Castelnou,Bajo Martín,44067
Castelserás,Bajo Aragón,44068
Castellar (El),Gúdar-Javalambre,44070
Castellote,Maestrazgo,44071
Cedrillas,Comunidad de Teruel,44074
Celadas,Comunidad de Teruel,44075
Cella,Comunidad de Teruel,44076
Cerollera (La),Bajo Aragón,44077
Codoñera (La),Bajo Aragón,44080
Corbalán,Comunidad de Teruel,44082
Cortes de Aragón,Cuencas Mineras,44084
Cosa,Jiloca,44085
Cretas,Matarranya,44086
Crivillén,Andorra-Sierra de Arcos,44087
Cuba (La),Maestrazgo,44088
Cubla,Comunidad de Teruel,44089
Cucalón,Jiloca,44090
Cuervo (El),Comunidad de Teruel,44092
Cuevas de Almudén,Cuencas Mineras,44093
Cuevas Labradas,Comunidad de Teruel,44094
Ejulve,Andorra-Sierra de Arcos,44096
Escorihuela,Comunidad de Teruel,44097
Escucha,Cuencas Mineras,44099
Estercuel,Andorra-Sierra de Arcos,44100
Ferreruela de Huerva,Jiloca,44101
Fonfría,Jiloca,44102
Formiche Alto,Gúdar-Javalambre,44103
Fórnoles,Matarranya,44105
Fortanete,Maestrazgo,44106
Foz-Calanda,Bajo Aragón,44107
Fresneda (La),Matarranya,44108
Frías de Albarracín,Sierra de Albarracín,44109
